"","from","to"
"1",11,38
"2",10,22
"3",9,52
"4",9,38
"5",9,37
"6",9,34
"7",9,27
"8",9,23
"9",9,22
"10",8,52
"11",8,51
"12",8,49
"13",8,48
"14",8,47
"15",8,46
"16",8,45
"17",8,44
"18",8,43
"19",8,42
"20",8,41
"21",8,40
"22",8,39
"23",8,38
"24",8,36
"25",8,35
"26",8,34
"27",8,33
"28",8,32
"29",8,31
"30",8,30
"31",8,29
"32",8,28
"33",8,27
"34",8,26
"35",8,25
"36",8,24
"37",8,23
"38",8,22
"39",8,21
"40",8,20
"41",8,19
"42",8,16
"43",8,14
"44",7,51
"45",7,50
"46",7,49
"47",7,48
"48",7,47
"49",7,43
"50",7,42
"51",7,37
"52",7,36
"53",7,35
"54",7,34
"55",7,30
"56",7,29
"57",7,28
"58",7,27
"59",7,26
"60",7,25
"61",7,21
"62",7,20
"63",7,19
"64",7,18
"65",7,17
"66",7,15
"67",6,52
"68",6,46
"69",4,13
"70",4,12
"71",3,11
"72",3,10
"73",3,9
"74",2,8
"75",2,7
"76",1,6
"77",1,5
